"Order","PID","MS SubClass","MS Zoning","Lot Frontage","Lot Area","Street","Alley","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Year Built","Year Remod/Add","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Mas Vnr Area","Exter Qual","Exter Cond","Foundation","Bsmt Qual","Bsmt Cond","Bsmt Exposure","BsmtFin Type 1","BsmtFin SF 1","BsmtFin Type 2","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","Heating","Heating QC","Central Air","Electrical","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Gr Liv Area","Bsmt Full Bath","Bsmt Half Bath","Full Bath","Half Bath","Bedroom AbvGr","Kitchen AbvGr","Kitchen Qual","TotRms AbvGrd","Functional","Fireplaces","Fireplace Qu","Garage Type","Garage Yr Blt","Garage Finish","Garage Cars","Garage Area","Garage Qual","Garage Cond","Paved Drive","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Pool Area","Pool QC","Fence","Misc Feature","Misc Val","Mo Sold","Yr Sold","Sale Type","Sale Condition","SalePrice","__index_level_0__"
2866,909282060,70,"RL",70,12320,"Pave",\N,"IR1","HLS","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,7,1932,1990,"Gable","CompShg","Wd Sdng","Wd Sdng",\N,0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA","Ex","Y","SBrkr",959,650,0,1609,0,0,1,1,3,1,"Gd",8,"Typ",2,"Gd","2Types",1963,"Unf",3,579,"TA","TA","Y",0,0,0,0,104,0,\N,"GdWo",\N,0,5,2006,"WD ","Normal",199500,2865
1161,533208080,160,"FV",35,4017,"Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2006,2007,"Gable","CompShg","MetalSd","MetalSd",\N,0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,625,625,"GasA","Ex","Y","SBrkr",625,625,0,1250,0,0,2,1,2,1,"Gd",5,"Typ",0,\N,"Detchd",2006,"Fin",2,625,"TA","TA","Y",0,54,0,0,0,0,\N,\N,\N,0,3,2008,"WD ","Normal",171900,1160
430,528108130,20,"RL",95,12350,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",9,5,2008,2008,"Hip","CompShg","VinylSd","VinylSd","Stone",450,"Ex","TA","PConc","Ex","TA","Av","GLQ",1232,"Unf",0,788,2020,"GasA","Ex","Y","SBrkr",2020,0,0,2020,1,0,2,0,3,1,"Ex",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,896,"TA","TA","Y",192,98,0,0,0,0,\N,\N,\N,0,5,2009,"WD ","Normal",404000,429
662,535382100,70,"RL",60,7200,"Pave",\N,"Reg","Lvl","AllPub","Corner","Gtl","OldTown","Artery","Norm","1Fam","2Story",7,9,1910,2008,"Gable","CompShg","VinylSd","VinylSd",\N,0,"Gd","Gd","PConc","TA","TA","No","Unf",0,"Unf",0,560,560,"GasA","Ex","Y","SBrkr",930,760,0,1690,0,0,2,0,4,1,"Gd",5,"Typ",0,\N,"Detchd",2008,"Unf",2,624,"TA","TA","Y",0,0,112,0,0,0,\N,\N,\N,0,8,2009,"WD ","Normal",156500,661
1355,903401050,50,"RL",\N,9144,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1940,1982,"Gable","CompShg","MetalSd","MetalSd",\N,0,"TA","TA","CBlock","TA","TA","No","Rec",399,"Unf",0,484,883,"GasA","Gd","Y","SBrkr",988,517,0,1505,1,0,1,0,3,1,"TA",8,"Typ",0,\N,"Detchd",1940,"Unf",1,240,"TA","TA","N",0,0,0,0,0,0,\N,\N,\N,0,7,2008,"WD ","Normal",145000,1354
1868,534128090,20,"RL",108,11358,"Pave",\N,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,7,1972,1987,"Hip","CompShg","Wd Sdng","Wd Sdng",\N,0,"TA","TA","CBlock","TA","TA","No","BLQ",346,"Unf",0,778,1124,"GasA","TA","Y","SBrkr",1610,0,0,1610,0,0,2,0,3,1,"Gd",8,"Typ",1,"TA","Attchd",1972,"RFn",2,515,"TA","TA","Y",202,0,0,0,256,0,\N,\N,\N,0,5,2007,"WD ","Normal",185000,1867
2021,903234160,30,"RM",60,6180,"Pave",\N,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1Story",6,5,1926,1950,"Gable","CompShg","Wd Sdng","Wd Sdng",\N,0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,960,960,"GasA","TA","N","SBrkr",986,0,0,986,0,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1926,"Unf",1,180,"TA","TA","Y",0,128,0,0,0,0,\N,\N,\N,0,5,2007,"WD ","Normal",102000,2020
2225,909428340,20,"RL",\N,21579,"Pave",\N,"IR1","Lvl","AllPub","CulDSac","Gtl","Crawfor","Norm","Norm","1Fam","1Story",6,6,1968,1968,"Hip","CompShg","HdBoard","BrkFace",\N,0,"TA","TA","PConc","Gd","TA","No","BLQ",813,"Unf",0,675,1488,"GasA","Ex","Y","SBrkr",1488,0,0,1488,0,1,2,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",1968,"RFn",2,552,"TA","TA","Y",0,0,216,0,0,0,\N,\N,\N,0,9,2007,"CWD","Normal",215000,2224
209,904100140,70,"RL",\N,24090,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","2Story",7,7,1940,1950,"Gable","CompShg","MetalSd","MetalSd",\N,0,"TA","Gd","CBlock","TA","TA","Mn","Unf",0,"Unf",0,1032,1032,"GasA","Ex","Y","SBrkr",1207,1196,0,2403,0,0,2,0,4,1,"TA",10,"Typ",2,"TA","Attchd",1940,"Unf",1,349,"TA","TA","Y",56,0,318,0,0,0,\N,\N,\N,0,6,2010,"COD","Normal",244400,208
1705,528142050,60,"RL",82,9709,"Pave",\N,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",120,"Ex","TA","PConc","Ex","TA","Gd","GLQ",778,"Unf",0,140,918,"GasA","Ex","Y","SBrkr",958,1142,0,2100,1,0,2,1,3,1,"Ex",8,"Typ",2,"Gd","BuiltIn",2007,"Fin",3,786,"TA","TA","Y",172,104,0,0,0,0,\N,\N,\N,0,9,2007,"New","Partial",319500,1704
1559,911226030,70,"C (all)",60,9000,"Grvl",\N,"Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",4,6,1920,1950,"Gable","CompShg","MetalSd","MetalSd",\N,0,"TA","TA","Stone","Fa","Fa","Mn","Unf",0,"Unf",0,592,592,"GasA","Ex","Y","SBrkr",432,432,0,864,0,0,1,1,3,1,"Fa",5,"Min2",0,\N,"Detchd",1920,"Unf",1,216,"Fa","Fa","N",0,30,160,0,0,0,\N,\N,\N,0,6,2008,"WD ","Normal",65000,1558
1395,905226030,30,"RL",60,10200,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1940,1997,"Gable","CompShg","Wd Sdng","Wd Sdng",\N,0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,672,672,"GasA","Ex","Y","SBrkr",672,0,0,672,0,0,1,0,2,1,"TA",4,"Typ",0,\N,"Detchd",1940,"Unf",1,240,"TA","TA","N",168,0,0,0,0,0,\N,"GdPrv",\N,0,8,2008,"WD ","Normal",108000,1394
2051,905101070,20,"RL",62,14299,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",4,3,1964,1964,"Gable","CompShg","HdBoard","HdBoard",\N,0,"TA","TA","CBlock","TA","TA","No","Rec",513,"LwQ",144,348,1005,"GasA","TA","Y","SBrkr",1005,0,0,1005,1,0,1,0,3,1,"TA",5,"Typ",0,\N,"Detchd",1964,"Unf",2,440,"TA","TA","N",0,0,0,0,0,0,\N,"MnPrv",\N,0,7,2007,"WD ","Normal",115400,2050
2303,923276180,20,"RL",65,11625,"Pave",\N,"IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard",\N,0,"TA","TA","CBlock","Gd","TA","No","ALQ",596,"Unf",0,220,816,"GasA","TA","Y","SBrkr",816,0,0,816,1,0,1,0,2,1,"TA",4,"Typ",0,\N,"Attchd",1983,"Fin",1,264,"TA","TA","Y",330,0,0,0,0,0,\N,"MnPrv",\N,0,5,2007,"WD ","Normal",139000,2302
755,903451090,70,"RM",57,6876,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",6,5,1927,1950,"Gable","CompShg","Plywood","Plywood",\N,0,"TA","TA","CBlock","TA","Fa","No","BLQ",522,"Unf",0,198,720,"GasA","Fa","Y","SBrkr",1146,784,0,1930,1,0,2,0,4,1,"TA",8,"Typ",0,\N,"Attchd",1927,"Unf",1,316,"TA","TA","Y",0,0,213,0,0,0,\N,"MnPrv",\N,0,8,2009,"WD ","Normal",149000,754
797,905478030,50,"RL",60,11409,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,4,1949,2008,"Gable","CompShg","Wd Sdng","Wd Sdng",\N,0,"TA","TA","CBlock","TA","TA","No","LwQ",292,"Unf",0,476,768,"GasA","Gd","Y","SBrkr",1148,568,0,1716,0,0,1,1,3,1,"TA",8,"Min2",1,"Gd","Attchd",1949,"Unf",1,281,"TA","TA","Y",0,0,0,0,160,0,\N,\N,\N,0,1,2009,"WD ","Normal",131000,796
2902,921205030,20,"RL",88,11443,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",208,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1460,"Unf",0,408,1868,"GasA","Ex","Y","SBrkr",2028,0,0,2028,1,0,2,0,2,1,"Gd",7,"Typ",2,"Gd","Attchd",2005,"RFn",3,880,"TA","TA","Y",326,66,0,0,0,0,\N,\N,\N,0,3,2006,"New","Partial",369900,2901
55,528231020,80,"RL",67,13300,"Pave",\N,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd",\N,0,"Gd","TA","PConc","Gd","TA","No","GLQ",326,"Unf",0,58,384,"GasA","Ex","Y","SBrkr",744,630,0,1374,1,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",2004,"Fin",2,400,"TA","TA","Y",100,0,0,0,0,0,\N,\N,\N,0,6,2010,"WD ","Normal",184500,54
1486,908102030,30,"RL",67,8777,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Feedr","Norm","1Fam","1Story",5,7,1910,1950,"Gable","CompShg","MetalSd","Wd Sdng",\N,0,"TA","TA","CBlock","Fa","TA","No","Unf",0,"Unf",0,796,796,"GasA","Gd","Y","FuseA",796,0,0,796,0,0,1,0,2,1,"TA",4,"Typ",0,\N,\N,\N,\N,0,0,\N,\N,"P",328,0,164,0,0,0,\N,"MnPrv",\N,0,5,2008,"WD ","Normal",85000,1485
262,907200340,20,"RL",75,10650,"Pave",\N,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1976,1976,"Gable","CompShg","HdBoard","HdBoard",\N,0,"TA","TA","CBlock","TA","Gd","Av","LwQ",182,"ALQ",712,0,894,"GasA","TA","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"TA",5,"Typ",0,\N,"Attchd",1976,"Unf",1,308,"TA","TA","Y",365,0,0,0,0,0,\N,"MnPrv",\N,0,2,2010,"WD ","Normal",128200,261
2274,917425190,20,"RL",50,35133,"Grvl",\N,"Reg","Lvl","AllPub","Inside","Mod","Timber","Norm","Norm","1Fam","1Story",5,4,1963,1963,"Hip","CompShg","MetalSd","MetalSd","BrkFace",226,"TA","TA","CBlock","TA","TA","Gd","Rec",1159,"Unf",0,413,1572,"GasA","Gd","Y","SBrkr",1572,0,0,1572,1,0,1,1,3,1,"TA",5,"Typ",2,"TA","2Types",1963,"RFn",3,995,"TA","TA","Y",0,263,0,0,263,0,\N,\N,\N,0,5,2007,"WD ","Normal",186700,2273
2430,528228580,120,"RL",53,4045,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",45,"Gd","TA","PConc","Gd","TA","Av","GLQ",1070,"Unf",0,286,1356,"GasA","Ex","Y","SBrkr",1500,0,0,1500,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2006,"Fin",3,648,"TA","TA","Y",161,20,0,0,0,0,\N,\N,\N,0,10,2006,"New","Partial",246578,2429
1084,528228465,20,"RL",43,3182,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1266,1266,"GasA","Ex","Y","SBrkr",1266,0,0,1266,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2007,"Fin",2,388,"TA","TA","Y",100,16,0,0,0,0,\N,\N,\N,0,3,2008,"WD ","Normal",159895,1083
2002,902408080,70,"RM",60,10800,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",7,8,1890,1998,"Gable","CompShg","Wd Sdng","VinylSd",\N,0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,718,718,"GasA","Ex","Y","SBrkr",1576,978,0,2554,0,0,1,1,3,1,"TA",8,"Typ",0,\N,"Detchd",1996,"Unf",2,704,"TA","TA","P",0,48,143,0,0,0,\N,\N,\N,0,7,2007,"WD ","Normal",159500,2001
1263,535425060,20,"RL",76,11355,"Pave",\N,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,7,1958,2001,"Gable","Tar&Grv","HdBoard","HdBoard","BrkFace",125,"TA","TA","CBlock","TA","TA","No","BLQ",637,"Unf",0,675,1312,"GasA","Ex","Y","SBrkr",1312,0,0,1312,0,0,1,1,3,1,"TA",6,"Typ",1,"Gd","Attchd",1958,"RFn",2,495,"TA","TA","Y",0,304,144,0,0,0,\N,"MnPrv","Othr",6500,4,2008,"WD ","Normal",186000,1262
1837,533206070,120,"FV",32,3784,"Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",8,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",36,"Gd","TA","PConc","Gd","TA","No","GLQ",60,"Unf",0,1451,1511,"GasA","Ex","Y","SBrkr",1565,0,0,1565,1,0,2,0,2,1,"Gd",5,"Typ",0,\N,"Attchd",2006,"Fin",2,476,"TA","TA","Y",0,120,0,0,0,0,\N,\N,\N,0,2,2007,"New","Partial",193800,1836
1143,531384030,60,"RL",43,14565,"Pave",\N,"IR2","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","BrkFace",145,"Gd","TA","PConc","Gd","TA","Av","GLQ",537,"Unf",0,295,832,"GasA","Ex","Y","SBrkr",832,825,0,1657,0,0,2,1,3,1,"Gd",6,"Typ",0,\N,"Attchd",1994,"RFn",2,483,"TA","TA","Y",144,74,0,0,0,0,\N,\N,"Shed",2000,11,2008,"WD ","Normal",189000,1142
2032,903451110,45,"RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng",\N,0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,\N,"GdPrv",\N,0,6,2007,"WD ","Normal",139400,2031
2215,909276160,70,"RL",78,12168,"Pave",\N,"Reg","HLS","AllPub","Inside","Mod","Crawfor","Norm","Norm","1Fam","2Story",8,6,1934,1998,"Gable","CompShg","BrkFace","Wd Sdng",\N,0,"TA","TA","PConc","Gd","TA","Mn","BLQ",428,"Unf",0,537,965,"GasA","TA","Y","SBrkr",1940,1254,0,3194,0,0,2,1,4,1,"TA",10,"Typ",2,"Gd","Basment",1934,"Unf",2,380,"TA","TA","Y",0,0,0,0,0,0,\N,\N,\N,0,9,2007,"WD ","Alloca",359100,2214
2868,909425120,20,"RL",90,14115,"Pave",\N,"IR1","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story",6,7,1956,2004,"Gable","CompShg","Stone","Stone",\N,0,"TA","TA","PConc","TA","TA","No","ALQ",296,"GLQ",547,230,1073,"GasA","Ex","Y","SBrkr",1811,0,0,1811,0,0,1,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",1956,"Fin",2,470,"TA","TA","Y",0,0,280,0,0,0,\N,\N,\N,0,7,2006,"WD ","Abnorml",230000,2867
188,902402010,20,"RM",90,7407,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",6,7,1957,1996,"Gable","CompShg","MetalSd","MetalSd",\N,0,"TA","TA","CBlock","TA","TA","No","GLQ",600,"Unf",0,312,912,"GasA","TA","Y","FuseA",1236,0,0,1236,1,0,1,0,2,1,"TA",6,"Typ",0,\N,"Attchd",1957,"Unf",2,923,"TA","TA","Y",0,158,158,0,0,0,\N,"MnPrv",\N,0,4,2010,"WD ","Normal",149700,187
1061,528120130,60,"RL",102,12151,"Pave",\N,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2005,"Gable","CompShg","CemntBd","CmentBd","BrkFace",368,"Gd","TA","PConc","Ex","TA","Av","GLQ",1249,"Unf",0,165,1414,"GasA","Ex","Y","SBrkr",1414,917,0,2331,1,0,2,1,3,1,"Ex",9,"Typ",1,"Gd","BuiltIn",2005,"Fin",3,1003,"TA","TA","Y",192,63,0,0,0,0,\N,\N,\N,0,8,2008,"WD ","Normal",379000,1060
281,908203100,20,"RL",64,6410,"Pave",\N,"Reg","HLS","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,1958,1958,"Hip","CompShg","WdShing","Wd Shng",\N,0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,960,960,"GasA","Ex","Y","SBrkr",960,0,0,960,0,0,1,0,3,1,"TA",5,"Typ",0,\N,\N,\N,\N,0,0,\N,\N,"Y",0,0,0,0,0,0,\N,"MnPrv",\N,0,5,2010,"WD ","Normal",90000,280
1267,535451010,20,"RL",74,8892,"Pave",\N,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,1996,"Gable","CompShg","WdShing","Wd Shng",\N,0,"Gd","TA","Stone","TA","TA","Av","Unf",0,"Unf",0,105,105,"GasA","Gd","Y","SBrkr",910,0,0,910,0,0,1,0,3,1,"Gd",5,"Typ",0,\N,"Attchd",1953,"Unf",2,414,"TA","TA","Y",196,0,150,0,0,0,\N,"GdWo",\N,0,10,2008,"WD ","Normal",116000,1266
2854,909253080,70,"RL",54,9399,"Pave",\N,"Reg","Bnk","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2.5Unf",7,8,1919,1950,"Gable","CompShg","MetalSd","Stucco",\N,0,"TA","TA","BrkTil","TA","TA","Mn","Unf",0,"Unf",0,818,818,"GasA","TA","Y","SBrkr",818,818,0,1636,0,0,1,1,4,1,"Gd",7,"Typ",1,"Gd","Detchd",1919,"Unf",1,288,"Fa","TA","N",0,0,212,0,0,0,\N,\N,\N,0,9,2006,"WD ","Abnorml",167000,2853
